id_client,revenu_mensuel,charges_mensuelles,montant_demande,duree_mois,historique_echeances,taux_remboursement_indiv,taux_remboursement_final
CLI-2026-0071,667191,286698,750000,3,4,0.75,0.97
CLI-2026-0072,273156,148228,300000,9,15,0.73,0.8
CLI-2026-0073,450911,113392,750000,18,9,0.5,0.81
CLI-2026-0074,234448,52806,500000,18,8,0.89,0.84
CLI-2026-0075,596210,41839,500000,3,16,0.67,0.9
CLI-2026-0076,459208,137139,200000,6,9,0.94,0.63
CLI-2026-0077,364627,280712,750000,12,11,0.69,0.81
CLI-2026-0078,297491,176175,200000,18,10,0.78,0.79
CLI-2026-0079,516924,272322,500000,3,6,0.64,0.97
CLI-2026-0080,585379,66434,1000000,12,3,0.58,0.8
CLI-2026-0081,761198,64263,1000000,6,19,0.89,0.79
CLI-2026-0082,434148,256699,1000000,6,2,0.75,0.98
CLI-2026-0083,254447,67752,1000000,12,7,0.77,0.78
CLI-2026-0084,691240,53510,500000,9,16,0.98,0.67
CLI-2026-0085,559346,145064,300000,12,3,0.98,0.69
CLI-2026-0086,605172,280458,1000000,6,15,0.93,0.64
CLI-2026-0087,213197,219239,1000000,18,17,0.59,0.6
CLI-2026-0088,353038,65769,1000000,3,15,0.8,0.77
CLI-2026-0089,649098,257654,750000,24,7,0.94,0.91
CLI-2026-0090,690968,259329,200000,3,0,0.69,0.89
CLI-2026-0091,432890,248181,500000,18,21,0.55,0.61
CLI-2026-0092,673096,274689,500000,9,7,0.91,0.83
CLI-2026-0093,697099,102368,1000000,9,19,0.74,0.66
CLI-2026-0094,401860,294688,300000,3,4,0.78,0.98
CLI-2026-0095,733756,123381,300000,18,3,0.99,0.67
CLI-2026-0096,337413,248526,200000,3,18,0.8,0.85
CLI-2026-0097,305712,190634,1000000,12,22,0.71,0.73
CLI-2026-0098,593622,242664,750000,18,20,0.68,0.86
CLI-2026-0099,563895,203233,200000,24,18,0.71,0.76
CLI-2026-0100,240839,207045,500000,18,5,0.56,0.9
CLI-2026-0101,691278,200233,500000,6,21,0.9,0.69
CLI-2026-0102,279940,242539,500000,18,16,0.92,0.96
CLI-2026-0103,673184,232151,1000000,18,4,0.64,0.8
CLI-2026-0104,154785,74983,200000,6,3,0.65,0.9
CLI-2026-0105,667947,254774,300000,3,20,0.94,0.94
CLI-2026-0106,661500,179377,200000,24,6,0.51,1.0
CLI-2026-0107,657236,124001,300000,3,18,0.76,0.69
CLI-2026-0108,582153,173697,1000000,12,3,0.73,0.71
CLI-2026-0109,456518,291415,1000000,6,6,0.85,0.7
CLI-2026-0110,608357,262968,200000,3,6,0.58,0.71
CLI-2026-0111,330129,256761,750000,18,6,0.83,0.83
CLI-2026-0112,657473,160327,300000,3,16,0.69,1.0
CLI-2026-0113,511170,243875,200000,18,21,0.81,1.0
CLI-2026-0114,448295,140123,300000,18,21,0.52,0.81
CLI-2026-0115,478644,218403,200000,3,17,0.73,0.86
CLI-2026-0116,519681,206286,500000,6,4,0.76,0.94
CLI-2026-0117,174220,104947,1000000,18,23,0.61,0.97
CLI-2026-0118,240868,109280,500000,12,13,0.57,0.68
CLI-2026-0119,309562,55894,750000,3,13,0.59,0.81
CLI-2026-0120,224444,76339,500000,24,16,0.67,0.93
CLI-2026-0121,435748,152740,200000,6,18,0.55,0.72
CLI-2026-0122,584461,164248,200000,3,22,0.97,0.78
CLI-2026-0123,575378,82931,300000,24,13,0.7,0.99
CLI-2026-0124,456212,148391,300000,3,14,0.9,0.99
CLI-2026-0125,705802,197086,1000000,12,17,0.99,0.96
CLI-2026-0126,517403,100468,1000000,24,6,0.54,0.92
CLI-2026-0127,201478,127941,1000000,12,7,0.83,0.71
CLI-2026-0128,647249,135553,750000,12,15,0.94,0.73
CLI-2026-0129,523490,171314,500000,9,1,0.82,0.82
CLI-2026-0130,562566,135262,750000,3,7,0.71,0.82
CLI-2026-0131,517492,231605,500000,12,17,0.72,0.8
CLI-2026-0132,509826,125148,750000,24,23,0.52,0.85
CLI-2026-0133,208868,152813,750000,3,12,0.77,0.76
CLI-2026-0134,513484,138660,750000,24,9,1.0,0.9
CLI-2026-0135,666693,87558,750000,9,10,0.98,0.73
CLI-2026-0136,347567,218293,200000,12,16,0.52,0.73
CLI-2026-0137,541844,101216,750000,3,13,0.85,0.65
CLI-2026-0138,170031,117187,300000,12,0,0.65,0.68
CLI-2026-0139,375874,246115,750000,6,12,0.95,0.94
CLI-2026-0140,433866,286703,500000,6,9,0.52,0.78
CLI-2026-0141,788779,214419,1000000,18,16,0.97,0.69
CLI-2026-0142,289480,278250,300000,3,21,0.92,0.9
CLI-2026-0143,329756,262089,1000000,9,23,0.56,0.82
CLI-2026-0144,415543,165036,1000000,12,14,0.53,0.61
CLI-2026-0145,795232,240275,300000,3,8,0.92,0.73
CLI-2026-0146,704711,125373,500000,6,10,0.58,0.67
CLI-2026-0147,172550,159729,500000,9,4,0.77,0.86
CLI-2026-0148,302060,179213,750000,12,22,0.96,0.71
CLI-2026-0149,684088,289728,750000,24,20,0.78,0.63
CLI-2026-0150,187896,260625,1000000,24,20,0.7,0.62
CLI-2026-0151,706186,167205,300000,6,7,0.72,0.83
CLI-2026-0152,332899,209672,500000,3,7,0.53,0.61
CLI-2026-0153,746473,92612,500000,3,20,0.98,0.94
CLI-2026-0154,340835,249141,1000000,12,13,0.66,0.66
CLI-2026-0155,432305,183789,300000,3,16,0.59,0.84
CLI-2026-0156,580245,178507,500000,6,11,0.64,0.78
CLI-2026-0157,232082,239233,200000,24,10,0.98,0.78
CLI-2026-0158,512070,204558,1000000,24,15,0.55,0.63
CLI-2026-0159,478260,58841,300000,24,19,0.93,0.92
CLI-2026-0160,659533,114920,300000,6,8,0.85,0.96
CLI-2026-0161,797469,85946,500000,12,19,0.92,0.6
CLI-2026-0162,581803,231072,500000,12,5,0.99,0.67
CLI-2026-0163,415971,49138,1000000,6,9,0.92,0.96
CLI-2026-0164,414151,92625,500000,12,21,0.97,0.82
CLI-2026-0165,421673,195335,500000,12,22,0.56,0.66
CLI-2026-0166,679113,220647,200000,9,22,0.9,0.68
CLI-2026-0167,358790,170859,200000,18,7,0.77,0.86
CLI-2026-0168,258532,263786,300000,18,20,0.77,0.89
CLI-2026-0169,367289,278924,1000000,12,22,0.95,0.84
CLI-2026-0170,164762,74346,1000000,18,23,0.99,0.98
CLI-2026-0171,218992,287652,750000,18,0,0.85,0.8
CLI-2026-0172,208531,199738,750000,12,17,0.74,0.72
CLI-2026-0173,651509,205416,300000,6,23,0.73,0.79
CLI-2026-0174,619533,64724,200000,18,18,0.69,0.74
CLI-2026-0175,602901,201686,200000,18,5,0.68,0.69
CLI-2026-0176,450220,228686,300000,24,18,0.7,0.62
CLI-2026-0177,616088,191005,300000,3,2,0.54,0.74
CLI-2026-0178,254826,61968,200000,9,11,0.54,0.88
CLI-2026-0179,735404,176039,300000,24,15,0.89,0.61
CLI-2026-0180,475679,283344,200000,12,10,0.72,0.78
CLI-2026-0181,759733,228088,750000,24,16,0.97,0.86
CLI-2026-0182,249002,75726,1000000,3,5,0.81,0.84
CLI-2026-0183,473264,289584,750000,3,14,0.52,0.91
CLI-2026-0184,602608,289308,500000,18,15,0.58,0.92
CLI-2026-0185,472156,84042,500000,9,15,0.6,0.88
CLI-2026-0186,440001,248229,300000,12,6,0.99,0.64
CLI-2026-0187,258039,145746,200000,9,7,0.61,0.79
CLI-2026-0188,397663,194357,500000,9,6,0.76,0.84
CLI-2026-0189,305198,155748,500000,24,11,0.97,0.7
CLI-2026-0190,345982,243482,200000,3,14,0.99,0.62
CLI-2026-0191,594405,299131,500000,18,8,0.62,0.69
CLI-2026-0192,559683,246729,300000,24,9,0.52,0.78
CLI-2026-0193,544677,282156,200000,12,6,0.58,0.77
CLI-2026-0194,385178,285967,750000,9,5,0.53,0.67
CLI-2026-0195,773800,63427,500000,3,15,0.6,0.93
CLI-2026-0196,206972,105879,750000,18,19,0.78,0.97
CLI-2026-0197,372684,227682,750000,9,6,0.96,0.68
CLI-2026-0198,226703,193419,1000000,3,20,0.77,0.97
CLI-2026-0199,370313,53038,1000000,9,13,0.81,0.61
CLI-2026-0200,775233,64712,750000,24,4,0.6,0.97
CLI-2026-0201,388071,175342,1000000,6,8,0.9,0.98
CLI-2026-0202,740577,200203,500000,6,0,0.81,0.6
CLI-2026-0203,471792,83607,1000000,18,0,0.93,0.91
CLI-2026-0204,604809,84535,750000,6,8,0.97,0.99
CLI-2026-0205,447321,73628,750000,24,10,0.67,0.96
CLI-2026-0206,322815,186887,1000000,24,19,0.55,0.99
CLI-2026-0207,646749,42041,500000,24,3,0.61,0.82
CLI-2026-0208,779964,188831,750000,24,20,0.72,0.63
CLI-2026-0209,321291,163741,300000,6,5,0.97,0.94
CLI-2026-0210,656188,161156,1000000,6,3,0.69,0.85
CLI-2026-0211,319741,216611,750000,9,16,0.89,0.85
CLI-2026-0212,615978,175884,750000,9,18,0.77,0.77
CLI-2026-0213,662854,229214,500000,24,14,0.59,0.83
CLI-2026-0214,442084,238620,1000000,18,2,0.66,0.66
CLI-2026-0215,628997,279230,200000,12,2,0.83,0.9
CLI-2026-0216,326957,247803,200000,24,9,0.84,0.63
CLI-2026-0217,201514,174603,500000,12,10,0.72,0.89
CLI-2026-0218,212654,167959,750000,9,23,0.61,0.94
CLI-2026-0219,440565,101284,1000000,9,6,0.86,0.79
CLI-2026-0220,736691,195894,500000,12,4,0.58,0.8
CLI-2026-0221,232924,76175,750000,3,22,0.97,0.72
CLI-2026-0222,446254,282121,500000,18,3,0.59,0.99
CLI-2026-0223,607620,259711,1000000,12,0,0.55,0.89
CLI-2026-0224,281536,71130,750000,18,10,0.75,0.75
CLI-2026-0225,619050,244348,500000,12,9,0.76,0.67
CLI-2026-0226,348871,70446,1000000,18,14,0.75,0.69
CLI-2026-0227,675629,227518,200000,24,21,0.72,0.79
CLI-2026-0228,526492,62804,1000000,12,22,1.0,0.98
CLI-2026-0229,505489,166930,200000,9,6,0.74,0.89
CLI-2026-0230,264902,211044,300000,3,23,0.74,0.69
CLI-2026-0231,451083,229490,1000000,18,15,0.71,0.94
CLI-2026-0232,706799,148838,750000,24,1,0.53,0.75
CLI-2026-0233,162690,279622,1000000,18,22,0.8,0.94
CLI-2026-0234,643037,241323,750000,24,3,0.61,0.7
CLI-2026-0235,470295,94148,750000,24,14,0.82,0.85
CLI-2026-0236,617650,214520,300000,18,18,0.53,0.97
CLI-2026-0237,581143,229938,200000,12,5,0.99,0.7
CLI-2026-0238,430860,126745,200000,3,6,0.73,0.88
CLI-2026-0239,350633,231940,300000,3,11,0.95,0.99
CLI-2026-0240,557750,273575,200000,6,21,0.74,0.66
CLI-2026-0241,241145,252449,500000,9,5,0.53,0.64
CLI-2026-0242,529663,238258,750000,18,15,0.91,0.87
CLI-2026-0243,211551,204969,1000000,9,10,0.82,0.74
CLI-2026-0244,572400,110339,500000,3,2,0.89,0.63
CLI-2026-0245,558684,246757,1000000,6,17,0.71,0.79
CLI-2026-0246,204888,134689,1000000,24,19,0.82,0.9
CLI-2026-0247,642367,178371,1000000,24,13,0.93,0.71
CLI-2026-0248,420274,121754,500000,9,4,0.82,0.73
CLI-2026-0249,661476,121384,300000,18,3,0.67,0.94
CLI-2026-0250,177049,80979,1000000,18,10,0.83,0.81
CLI-2026-0251,266646,289937,300000,24,12,0.84,0.94
CLI-2026-0252,471094,78423,500000,24,13,0.98,0.78
CLI-2026-0253,272346,62427,200000,12,5,0.69,0.98
CLI-2026-0254,364409,283393,750000,9,12,0.71,0.86
CLI-2026-0255,579389,184303,750000,12,7,0.91,0.65
CLI-2026-0256,243940,153855,200000,6,16,0.75,0.95
CLI-2026-0257,590506,231747,300000,9,19,0.87,0.8
CLI-2026-0258,217211,139663,500000,12,15,0.73,0.66
CLI-2026-0259,263870,73259,500000,12,0,0.61,0.66
CLI-2026-0260,531968,229718,1000000,12,23,0.87,0.88
CLI-2026-0261,665764,85759,300000,9,0,0.57,0.62
CLI-2026-0262,260885,183778,1000000,9,23,0.6,0.71
CLI-2026-0263,344995,286757,500000,3,0,0.81,0.66
CLI-2026-0264,751328,283396,1000000,12,12,0.87,0.78
CLI-2026-0265,793294,133803,300000,12,2,0.95,0.77
CLI-2026-0266,527689,242878,200000,24,2,0.64,0.81
CLI-2026-0267,440574,199295,200000,12,16,0.56,0.71
CLI-2026-0268,375465,164636,300000,9,17,0.98,0.61
CLI-2026-0269,548093,76381,1000000,3,2,0.58,0.85
CLI-2026-0270,534095,137853,200000,6,23,0.6,0.75
CLI-2026-0271,341589,209498,300000,9,7,0.65,0.86
CLI-2026-0272,164822,296524,200000,9,7,0.76,0.64
CLI-2026-0273,248473,41271,1000000,9,7,0.94,0.61
CLI-2026-0274,773063,226617,750000,9,11,0.88,0.7
CLI-2026-0275,421800,260047,750000,18,4,0.85,0.78
CLI-2026-0276,463497,287310,750000,3,10,0.59,0.76
CLI-2026-0277,453619,150188,750000,6,5,0.68,0.92
CLI-2026-0278,658777,70804,750000,3,1,0.74,0.75
CLI-2026-0279,192221,110451,200000,6,8,0.57,0.81
CLI-2026-0280,203774,261138,1000000,18,16,0.64,0.84
CLI-2026-0281,329300,268263,750000,3,18,0.65,0.61
CLI-2026-0282,466327,205639,750000,9,8,0.56,0.81
CLI-2026-0283,586230,71912,300000,3,7,0.78,0.74
CLI-2026-0284,468959,71699,1000000,24,18,0.85,0.77
CLI-2026-0285,436759,164324,300000,18,16,0.53,0.64
CLI-2026-0286,759587,192947,200000,6,19,0.74,0.91
CLI-2026-0287,254662,48418,1000000,6,21,0.89,0.98
CLI-2026-0288,521623,218385,300000,3,19,0.87,0.61
CLI-2026-0289,502459,181572,200000,9,22,0.91,0.84
CLI-2026-0290,457768,43198,750000,18,9,0.72,0.91
CLI-2026-0291,674938,64876,300000,12,9,0.91,0.71
CLI-2026-0292,323534,158122,1000000,24,7,0.62,0.92
CLI-2026-0293,769952,227872,500000,9,5,0.68,0.85
CLI-2026-0294,365519,254603,200000,6,17,0.59,0.97
CLI-2026-0295,504252,152138,1000000,9,17,0.73,0.99
CLI-2026-0296,488437,116793,500000,6,19,0.7,0.62
CLI-2026-0297,702355,291760,300000,24,4,0.62,0.78
CLI-2026-0298,435292,159222,750000,6,11,0.88,0.82
CLI-2026-0299,334963,122001,500000,9,5,0.66,0.66
CLI-2026-0300,164047,155001,200000,12,21,0.64,0.73
CLI-2026-0301,386390,43143,750000,3,6,0.57,1.0
CLI-2026-0302,687089,118501,500000,9,3,0.72,0.61
CLI-2026-0303,156445,174044,750000,9,13,0.65,0.78
CLI-2026-0304,732504,278794,1000000,6,21,0.68,0.94
CLI-2026-0305,502837,231938,750000,3,21,0.62,0.73
CLI-2026-0306,241161,243136,750000,3,2,0.88,0.79
CLI-2026-0307,346416,181674,300000,3,7,0.97,0.99
CLI-2026-0308,510123,68752,300000,9,3,0.75,0.79
CLI-2026-0309,355199,141640,500000,3,7,0.82,0.65
CLI-2026-0310,220574,299229,1000000,24,12,0.93,0.62
CLI-2026-0311,582892,51484,500000,6,6,1.0,0.98
CLI-2026-0312,586956,268592,300000,12,1,0.81,0.71
CLI-2026-0313,227268,217968,750000,18,12,0.94,0.8
CLI-2026-0314,332801,113816,1000000,9,1,0.95,0.64
CLI-2026-0315,308517,242277,1000000,24,5,0.9,0.77
CLI-2026-0316,578624,257593,300000,3,0,0.73,0.97
CLI-2026-0317,624692,51236,750000,6,2,0.54,0.8
CLI-2026-0318,622546,67669,500000,6,10,0.51,0.99
CLI-2026-0319,760194,213094,500000,3,20,0.74,0.7
CLI-2026-0320,649620,299767,300000,6,18,0.75,0.8
CLI-2026-0321,358441,46231,200000,6,2,0.7,0.94
CLI-2026-0322,220031,213078,300000,18,0,0.78,0.78
CLI-2026-0323,549517,75496,500000,6,8,0.78,0.71
CLI-2026-0324,745407,209032,1000000,24,15,0.92,0.94
CLI-2026-0325,783850,202061,1000000,18,17,0.55,0.76
CLI-2026-0326,299639,63514,200000,24,19,0.61,0.81
CLI-2026-0327,303696,216989,750000,3,8,0.9,0.99
CLI-2026-0328,174318,273228,200000,24,4,0.92,0.67
CLI-2026-0329,241820,264495,750000,12,0,1.0,0.72
CLI-2026-0330,510654,47539,300000,24,3,0.94,0.61
CLI-2026-0331,505422,103938,500000,9,1,0.94,0.76
CLI-2026-0332,391099,102615,750000,24,20,0.66,0.68
CLI-2026-0333,351471,157856,500000,12,6,0.7,0.87
CLI-2026-0334,689363,77185,1000000,3,19,0.63,0.67
CLI-2026-0335,449022,262130,500000,9,13,0.8,0.87
CLI-2026-0336,675363,241959,1000000,3,12,0.97,0.71
CLI-2026-0337,776087,250170,750000,24,10,0.67,0.74
CLI-2026-0338,356140,91533,300000,6,19,0.78,0.74
CLI-2026-0339,281779,43788,750000,6,1,0.65,0.89
CLI-2026-0340,769384,276765,500000,12,2,0.58,0.79
CLI-2026-0341,562640,115116,500000,9,10,0.6,0.74
CLI-2026-0342,339096,210629,200000,3,9,0.53,0.94
CLI-2026-0343,554208,276453,200000,18,13,0.97,0.83
CLI-2026-0344,484787,49402,500000,24,17,0.7,0.69
CLI-2026-0345,738595,41423,200000,18,14,0.92,0.96
CLI-2026-0346,316377,41411,1000000,12,6,0.84,0.74
CLI-2026-0347,794398,80644,1000000,9,7,0.6,0.62
CLI-2026-0348,758428,53431,750000,12,18,0.59,0.8
CLI-2026-0349,267456,253195,750000,12,4,0.91,0.65
CLI-2026-0350,256995,197540,500000,3,12,0.63,0.7
CLI-2026-0351,496551,294812,200000,3,12,0.96,0.9
CLI-2026-0352,179191,248385,300000,6,18,0.57,0.65
CLI-2026-0353,344218,290428,500000,9,17,0.84,0.92
CLI-2026-0354,432813,102023,1000000,3,11,0.91,0.97
CLI-2026-0355,780092,114827,300000,3,7,0.62,0.84
CLI-2026-0356,795044,260846,500000,24,8,0.64,0.88
CLI-2026-0357,248500,103669,300000,9,9,0.98,0.89
CLI-2026-0358,729590,54880,200000,12,5,0.63,1.0
CLI-2026-0359,209103,213973,200000,12,15,0.71,0.74
CLI-2026-0360,636595,248250,300000,18,5,0.72,0.67
CLI-2026-0361,699667,291731,200000,18,15,0.63,0.81
CLI-2026-0362,729015,281226,200000,6,18,0.89,0.81
CLI-2026-0363,295221,71259,300000,24,23,0.89,0.67
CLI-2026-0364,730740,240748,300000,9,2,0.69,0.85
CLI-2026-0365,225387,259993,500000,24,18,0.92,0.61
CLI-2026-0366,487257,221511,200000,9,2,0.61,0.97
CLI-2026-0367,455204,253147,300000,3,8,0.5,0.71
CLI-2026-0368,355353,257874,500000,18,4,0.79,0.62
CLI-2026-0369,164374,156103,1000000,3,3,1.0,0.64
CLI-2026-0370,651808,50439,750000,18,4,0.52,0.7
CLI-2026-0371,368129,158610,1000000,3,1,0.6,0.71
CLI-2026-0372,580079,92463,300000,6,19,0.76,0.61
CLI-2026-0373,416642,69569,500000,12,1,0.9,0.71
CLI-2026-0374,392877,72480,500000,24,9,0.54,0.68
CLI-2026-0375,726092,221317,1000000,9,16,0.7,0.75
CLI-2026-0376,211403,171178,1000000,3,23,0.87,0.75
CLI-2026-0377,628801,180358,1000000,6,20,0.69,0.74
CLI-2026-0378,635413,233748,750000,24,3,0.59,0.73
CLI-2026-0379,396994,182549,500000,18,23,0.6,0.64
CLI-2026-0380,320599,203803,500000,3,15,0.71,0.61
CLI-2026-0381,153449,62366,1000000,9,4,0.74,0.68
CLI-2026-0382,758928,261294,300000,6,10,0.93,0.9
CLI-2026-0383,766025,156682,300000,6,22,0.82,1.0
CLI-2026-0384,306630,80355,1000000,24,9,0.85,0.97
CLI-2026-0385,170742,251465,300000,12,4,0.99,0.8
CLI-2026-0386,229792,231001,300000,6,21,0.71,0.81
CLI-2026-0387,193967,53786,500000,12,22,0.7,0.73
CLI-2026-0388,690223,90190,300000,9,23,0.96,0.91
CLI-2026-0389,729742,44094,1000000,3,22,0.62,0.91
CLI-2026-0390,249634,110397,1000000,9,20,0.86,0.94
CLI-2026-0391,635380,65994,300000,6,10,0.88,0.96
CLI-2026-0392,266524,224575,500000,6,4,0.55,0.77
CLI-2026-0393,388685,175863,1000000,24,14,0.73,0.91
CLI-2026-0394,539598,294853,750000,18,5,0.6,0.92
CLI-2026-0395,617952,234850,300000,3,11,0.59,0.72
CLI-2026-0396,718465,199001,500000,24,15,0.73,0.97
CLI-2026-0397,179110,172421,750000,12,22,0.64,0.64
CLI-2026-0398,277682,54170,750000,24,6,0.9,1.0
CLI-2026-0399,332330,58252,200000,18,6,0.95,0.91
CLI-2026-0400,351710,200240,300000,9,17,0.9,0.64
CLI-2026-0401,798718,41138,1000000,12,0,0.63,0.86
CLI-2026-0402,655313,51011,300000,12,13,0.64,0.61
CLI-2026-0403,358271,96975,300000,18,17,0.63,0.91
CLI-2026-0404,781687,269877,300000,6,13,0.57,0.92
CLI-2026-0405,474549,159321,200000,6,9,0.97,0.84
CLI-2026-0406,475481,224490,200000,6,19,0.7,0.94
CLI-2026-0407,431904,147006,300000,6,8,0.61,0.64
CLI-2026-0408,243533,85013,1000000,3,17,0.92,0.71
CLI-2026-0409,757342,136500,200000,3,11,0.7,0.77
CLI-2026-0410,159058,63847,300000,24,0,0.52,0.62
CLI-2026-0411,263281,240265,200000,3,12,0.58,0.78
CLI-2026-0412,299276,87718,500000,24,1,0.82,0.71
CLI-2026-0413,331543,137857,300000,3,22,0.89,0.76
CLI-2026-0414,235684,294807,750000,18,14,0.61,0.77
CLI-2026-0415,161674,193910,500000,6,8,0.96,0.95
CLI-2026-0416,590478,159225,750000,12,11,0.93,0.71
CLI-2026-0417,780051,181183,750000,6,14,0.92,0.96
CLI-2026-0418,229191,243861,500000,9,6,0.61,0.77
CLI-2026-0419,342747,106165,1000000,9,6,0.53,0.73
CLI-2026-0420,479114,205466,500000,12,10,0.93,0.8
CLI-2026-0421,752876,266899,1000000,9,6,0.65,0.77
CLI-2026-0422,601270,188827,1000000,12,18,0.81,0.7
CLI-2026-0423,648022,156100,500000,18,2,0.88,0.8
CLI-2026-0424,527725,77733,750000,9,19,0.56,0.66
CLI-2026-0425,421073,104555,300000,9,8,0.89,0.74
CLI-2026-0426,279854,285966,1000000,3,13,0.97,0.83
CLI-2026-0427,711804,180727,750000,9,3,0.86,0.77
CLI-2026-0428,672680,118349,1000000,3,9,0.72,0.93
CLI-2026-0429,166315,148775,300000,6,18,0.94,0.7
CLI-2026-0430,615014,190284,750000,24,6,0.76,0.99
CLI-2026-0431,204852,179762,500000,3,3,0.87,0.91
CLI-2026-0432,630339,221941,200000,9,12,0.91,0.99
CLI-2026-0433,686869,106948,200000,24,3,0.87,0.94
CLI-2026-0434,235187,208800,500000,24,7,0.64,0.66
CLI-2026-0435,431993,155096,300000,3,10,0.56,0.81
CLI-2026-0436,230439,284554,200000,3,13,0.62,0.67
CLI-2026-0437,518733,81059,500000,9,15,0.75,0.93
CLI-2026-0438,752915,78594,750000,12,16,0.75,0.83
CLI-2026-0439,202565,160031,300000,24,20,0.79,0.71
CLI-2026-0440,408425,172171,1000000,6,1,0.7,0.97
CLI-2026-0441,782528,219627,750000,3,8,0.89,0.65
CLI-2026-0442,345616,145048,500000,6,0,0.96,0.83
CLI-2026-0443,235940,277566,1000000,24,0,0.62,0.89
CLI-2026-0444,467579,163283,500000,3,5,0.87,0.62
